2022-01-30 00:38:02.302  INFO 4423 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-01-30 00:38:02.307  INFO 4423 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-01-30 00:38:02.315  INFO 4423 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-01-30 14:34:53.104  INFO 4443 --- [main] c.s.c.ChildActivityTrackingApplication   : Starting ChildActivityTrackingApplication using Java 16.0.1 on sulyvan-N501VW with PID 4443 (/home/sulyvan/WorkEnv/child-activity-tracking/target/classes started by sulyvan in /home/sulyvan/WorkEnv/child-activity-tracking)
2022-01-30 14:34:53.107  INFO 4443 --- [main] c.s.c.ChildActivityTrackingApplication   : No active profile set, falling back to default profiles: default
2022-01-30 14:34:54.023  INFO 4443 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-01-30 14:34:54.112  INFO 4443 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 73 ms. Found 6 JPA repository interfaces.
2022-01-30 14:34:54.916  INFO 4443 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9443 (http)
2022-01-30 14:34:54.931  INFO 4443 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-01-30 14:34:54.932  INFO 4443 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-01-30 14:34:55.060  INFO 4443 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-01-30 14:34:55.061  INFO 4443 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1880 ms
2022-01-30 14:34:55.293  INFO 4443 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-01-30 14:34:55.358  INFO 4443 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.3.Final
2022-01-30 14:34:55.574  INFO 4443 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-01-30 14:34:55.670  INFO 4443 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-01-30 14:34:56.149  INFO 4443 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-01-30 14:34:56.187  INFO 4443 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2022-01-30 14:34:57.056  INFO 4443 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-01-30 14:34:57.069  INFO 4443 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-01-30 14:34:58.559  WARN 4443 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-01-30 14:34:59.120  INFO 4443 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9443 (http) with context path ''
2022-01-30 14:34:59.130  INFO 4443 --- [main] c.s.c.ChildActivityTrackingApplication   : Started ChildActivityTrackingApplication in 6.954 seconds (JVM running for 7.724)
2022-01-30 14:35:20.208  INFO 4443 --- [http-nio-9443-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-30 14:35:20.208  INFO 4443 --- [http-nio-9443-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-01-30 14:35:20.211  INFO 4443 --- [http-nio-9443-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-01-30 14:35:20.261  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.UserController         : Controller - GET - /user/login/password/sulyvan/toto
2022-01-30 14:35:20.506  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:35:20.536  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:35:33.927  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:35:33.944  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:36:41.188  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:36:41.231  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:36:42.147  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:36:42.170  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:36:42.207  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:36:42.229  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-30 00:00:00.0
2022-01-30 14:36:42.259  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-30 00:00:00.0
2022-01-30 14:36:42.269  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-30 00:00:00.0
2022-01-30 14:36:42.278  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-30 00:00:00.0
2022-01-30 14:36:44.686  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:36:44.701  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:36:44.752  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:36:44.765  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
